week_end,week_label,market,investor,basis,sales,purchases,balance
2025-01-10,2025年1月第1週,二市場,事業法人,金額,224761.37,550436.285,325674.915
2025-01-10,2025年1月第1週,二市場,信託銀行,金額,846600.738,314724.635,-531876.103
2025-01-10,2025年1月第1週,二市場,個人,金額,6411912.98,7139662.694,727749.714
2025-01-10,2025年1月第1週,二市場,委託計,金額,23219379.278,23937896.605,718517.327
2025-01-10,2025年1月第1週,二市場,投資信託,金額,505449.394,389271.292,-116178.102
2025-01-10,2025年1月第1週,二市場,法人,金額,1737253.411,1371732.32,-365521.091
2025-01-10,2025年1月第1週,二市場,海外投資家,金額,14967569.423,15311121.612,343552.189
2025-01-10,2025年1月第1週,二市場,生保・損保,金額,34483.923,13382.29,-21101.633
2025-01-10,2025年1月第1週,二市場,総計,金額,26319793.113,26258314.604,-61478.509
2025-01-10,2025年1月第1週,二市場,自己計,金額,3100413.835,2320417.999,-779995.836
2025-01-10,2025年1月第1週,二市場,証券会社,金額,102643.464,115379.979,12736.515
2025-01-10,2025年1月第1週,二市場,都銀・地銀等,金額,63037.606,8011.27,-55026.336
2025-01-10,2025年1月第1週,二市場,金融機関,金額,963225.603,366496.8,-596728.803
2025-01-10,2025年1月第1週,東証グロース,その他法人等,金額,2042.314,793.341,-1248.973
2025-01-10,2025年1月第1週,東証グロース,その他金融機関,金額,24.753,16.252,-8.501
2025-01-10,2025年1月第1週,東証グロース,事業法人,金額,5071.669,5295.337,223.668
2025-01-10,2025年1月第1週,東証グロース,信託銀行,金額,1258.417,1008.014,-250.403
2025-01-10,2025年1月第1週,東証グロース,個人,金額,333458.075,356509.356,23051.281
2025-01-10,2025年1月第1週,東証グロース,委託計,金額,598593.617,604233.671,5640.054
2025-01-10,2025年1月第1週,東証グロース,投資信託,金額,1577.243,2744.258,1167.015
2025-01-10,2025年1月第1週,東証グロース,法人,金額,10003.498,10087.795,84.297
2025-01-10,2025年1月第1週,東証グロース,海外投資家,金額,251469.096,233711.858,-17757.238
2025-01-10,2025年1月第1週,東証グロース,生保・損保,金額,0.0,230.593,230.593
2025-01-10,2025年1月第1週,東証グロース,総計,金額,629226.521,627425.63,-1800.891
2025-01-10,2025年1月第1週,東証グロース,自己計,金額,30632.904,23191.959,-7440.945
2025-01-10,2025年1月第1週,東証グロース,証券会社,金額,3662.948,3924.662,261.714
2025-01-10,2025年1月第1週,東証グロース,都銀・地銀等,金額,29.102,0.0,-29.102
2025-01-10,2025年1月第1週,東証グロース,金融機関,金額,1312.272,1254.859,-57.413
2025-01-10,2025年1月第1週,東証スタンダード,その他法人等,金額,1571.297,2561.268,989.971
2025-01-10,2025年1月第1週,東証スタンダード,その他金融機関,金額,112.325,266.799,154.474
2025-01-10,2025年1月第1週,東証スタンダード,事業法人,金額,10786.493,9702.248,-1084.245
2025-01-10,2025年1月第1週,東証スタンダード,信託銀行,金額,5663.248,4504.844,-1158.404
2025-01-10,2025年1月第1週,東証スタンダード,個人,金額,275305.142,301639.02,26333.878
2025-01-10,2025年1月第1週,東証スタンダード,委託計,金額,628576.973,637650.428,9073.455
2025-01-10,2025年1月第1週,東証スタンダード,投資信託,金額,4055.227,4975.105,919.878
2025-01-10,2025年1月第1週,東証スタンダード,法人,金額,22904.459,22103.801,-800.658
2025-01-10,2025年1月第1週,東証スタンダード,海外投資家,金額,326538.601,309232.036,-17306.565
2025-01-10,2025年1月第1週,東証スタンダード,生保・損保,金額,354.062,52.857,-301.205
2025-01-10,2025年1月第1週,東証スタンダード,総計,金額,672346.993,671333.695,-1013.298
2025-01-10,2025年1月第1週,東証スタンダード,自己計,金額,43770.02,33683.267,-10086.753
2025-01-10,2025年1月第1週,東証スタンダード,証券会社,金額,3828.771,4675.571,846.8
2025-01-10,2025年1月第1週,東証スタンダード,都銀・地銀等,金額,361.807,40.68,-321.127
2025-01-10,2025年1月第1週,東証スタンダード,金融機関,金額,6491.442,4865.18,-1626.262
2025-01-10,2025年1月第1週,東証プライム,その他法人等,金額,40196.02,62139.707,21943.687
2025-01-10,2025年1月第1週,東証プライム,その他金融機関,金額,18965.288,30095.554,11130.266
2025-01-10,2025年1月第1週,東証プライム,事業法人,金額,208845.541,535418.042,326572.501
2025-01-10,2025年1月第1週,東証プライム,信託銀行,金額,839670.909,309209.783,-530461.126
2025-01-10,2025年1月第1週,東証プライム,個人,金額,5801980.401,6480291.472,678311.071
2025-01-10,2025年1月第1週,東証プライム,委託計,金額,21990911.218,22694694.412,703783.194
2025-01-10,2025年1月第1週,東証プライム,投資信託,金額,499807.097,381551.087,-118256.01
2025-01-10,2025年1月第1週,東証プライム,法人,金額,1704244.856,1339483.603,-364761.253
2025-01-10,2025年1月第1週,東証プライム,海外投資家,金額,14389543.717,14768159.576,378615.859
